,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
58,3v9xlH6BpmRbqL7hgNJhfT,I Get Around (Mono),All Summer Long (Mono & Stereo),The Beach Boys,1964-07-13,134386,64,0.36,0.39,0.625,0.0,0.0663,-7.813,0.0537,144.338,4,0.514,1960
59,7BY005dacJkbO6EPiOh2wb,House Of The Rising Sun,The Animals,The Animals,1964-01-01,271280,69,0.000385,0.295,0.584,0.218,0.0996,-6.696,0.0345,117.2,3,0.228,1960
60,5uvosCdMlFdTXhoazkTI5R,Light My Fire,The Doors,The Doors,1967-01-04,429760,68,0.369,0.413,0.725,2.16e-05,0.0905,-5.787,0.0324,124.618,4,0.44,1960
61,7CZiDzGVjUssMSOXrDNYHL,Ticket To Ride - Remastered 2009,Help! (Remastered),The Beatles,1965-08-06,189680,63,0.0457,0.519,0.85,0.0,0.233,-6.777,0.0678,123.419,4,0.749,1960
62,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Willy And The Poor Boys (Expanded Edition),Creedence Clearwater Revival,1969-11-02,140773,80,0.201,0.64,0.663,0.00806,0.152,-7.516,0.0374,132.77,4,0.663,1960
63,1udKn1oNKYQSQ9OmiIWCMu,Do You Believe in Magic?,Do you Believe In Magic,The Lovin' Spoonful,1965-11,125826,67,0.213,0.553,0.738,0.0,0.339,-7.963,0.0457,138.602,4,0.759,1960
64,6Um3XCAxl9YfFmAnGl93xc,I Fought the Law - Single Version,Never To Be Forgotten - The Mustang Years,The Bobby Fuller Four,1998,138360,56,0.105,0.593,0.804,2.22e-06,0.047,-5.497,0.0319,148.959,4,0.962,1960
65,4c4jJJoaiY21t2TyRZgdWS,Magic Carpet Ride,The Second,Steppenwolf,1968-10-01,271573,66,0.142,0.64,0.651,0.28,0.0341,-14.981,0.0517,111.676,4,0.801,1960
66,0sDqo9UPzPUtu9wEkI3zRB,The Weight - Remastered,Music From Big Pink (Expanded Edition),The Band,1968-07-01,278626,0,0.225,0.63,0.519,4.3e-06,0.0974,-10.997,0.0528,143.942,4,0.502,1960
67,587bVBCHYW5Q2VNRLig4AS,Born On The Bayou,Bayou Country (Expanded Edition),Creedence Clearwater Revival,1969-01-05,315200,63,0.0553,0.656,0.601,0.0667,0.0974,-7.734,0.0389,117.296,4,0.576,1960
68,5qBqBdfTEIWJwAS0Jm2F5R,Turn! Turn! Turn! (To Everything There Is a Season),Turn! Turn! Turn!,The Byrds,1965-12-06,229360,62,0.135,0.451,0.818,2.92e-05,0.052,-8.124,0.0439,124.532,4,0.755,1960
69,4u9f8hqstB7iITDJNzKhQx,My Generation - Stereo Version,My Generation (Stereo Version),The Who,1965-12-03,198706,63,0.308,0.412,0.782,0.00822,0.0775,-9.186,0.058,96.732,4,0.705,1960
70,3UDmHZcBTQp8Iu8droNtUl,Revolution - Remastered 2009,The Beatles 1967 - 1970 (Remastered),The Beatles,1973-04-02,205293,57,0.0734,0.407,0.834,0.00021,0.241,-9.224,0.208,121.38,4,0.71,1960
71,0iA3xXSkSCiJywKyo1UKjQ,Louie Louie,The Best of The Kingsmen,The Kingsmen,2006-01-31,165381,63,0.102,0.623,0.709,0.0,0.0967,-9.818,0.0636,122.394,4,0.948,1960
72,7aTCCNpHJD2Jgv0LLVJb8Y,Up On Cripple Creek,The Band,The Band,1969-09-22,270293,57,0.243,0.719,0.67,0.0223,0.0618,-9.113,0.0903,144.041,4,0.96,1960
73,3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,Highway 61 Revisited,Bob Dylan,1965-08-30,369600,66,0.731,0.482,0.721,0.0,0.189,-6.839,0.0321,95.263,4,0.557,1960
