Year,Length mean,Popularity mean,Acousticness mean,Danceability mean,Energy mean,Instrumentalness mean,Liveness mean,Loudness mean,Speechiness mean,Tempo mean,Time Signature mean,Valence mean,Decade mean,Songs per Year mean,Length standard deviation,Popularity standard deviation,Acousticness standard deviation,Danceability standard deviation,Energy standard deviation,Instrumentalness standard deviation,Liveness standard deviation,Loudness standard deviation,Speechiness standard deviation,Tempo standard deviation,Time Signature standard deviation,Valence standard deviation,Decade standard deviation,Songs per Year standard deviation
1991,4.5029390000000005,47.45,0.12515161,0.61543,0.69266,0.0529340341,0.20014700000000002,-9.22207,0.05126699999999999,115.60464,3.98,0.584731,1990.0,100.0,0.9413260498360809,20.14712301189839,0.17211555784995064,0.1446085803648992,0.20237754596572988,0.1380512732952432,0.1767825780157621,3.4743588559181635,0.033593024934388156,22.180485222315895,0.1407052941362897,0.2528175445800286,0.0,0.0
1992,4.535162000000001,49.54,0.15105243,0.6428100000000001,0.69053,0.023227053299999998,0.177733,-9.07905,0.071888,119.13727999999999,3.98,0.605407,1990.0,100.0,0.9212579891549479,16.255174778226998,0.21193231560911016,0.13821449404326724,0.19126355263263456,0.06909275727566337,0.1474175585768794,2.505018713513035,0.07586352350095399,27.86376776609417,0.1407052941362897,0.2257703894189489,0.0,0.0
1993,4.494948484848485,52.888888888888886,0.12195598989898991,0.6334646464646465,0.6853131313131313,0.054518948484848485,0.17855858585858586,-9.071454545454545,0.06549696969696969,116.75866666666667,3.95959595959596,0.5595050505050505,1990.0,99.0,1.1659287229556472,18.445666981312645,0.16301769130126265,0.1420258896441436,0.18590954825379885,0.16462648767913762,0.1381562151985201,2.993840330400607,0.07517188800226851,25.972529581015678,0.19790700347467471,0.21445590259516203,0.0,0.0
1994,4.40323775510204,48.16326530612245,0.15901116020408163,0.6483265306122449,0.683234693877551,0.058235925,0.17607755102040817,-8.769683673469387,0.05619183673469388,122.01626530612246,3.979591836734694,0.5826724489795918,1990.0,98.0,0.989366965944449,19.910984316310206,0.20385770201337747,0.15007268173899638,0.1811610777830425,0.1644349112633585,0.13838855021660593,2.4312825710194743,0.051394549579586085,26.119534938294837,0.14211885810680203,0.24034091541988536,0.0,0.0
1995,4.378723,45.34,0.154719334,0.6332,0.68316,0.0412022465,0.187324,-7.88321,0.072962,118.32469999999999,3.98,0.573852,1990.0,100.0,0.6912207442955141,23.064345653064617,0.19853030200772026,0.14225933070177568,0.1938532049012991,0.14811215695634378,0.16902410928382947,2.517022769488034,0.07101865422890558,29.916571994616817,0.1407052941362897,0.21975249736230462,0.0,0.0
1996,4.334035714285714,51.01020408163265,0.1410851530612245,0.6522244897959184,0.6949918367346939,0.06566259867346938,0.20436530612244896,-7.75304081632653,0.07931938775510204,115.06127551020407,3.989795918367347,0.6112285714285715,1990.0,98.0,0.8715839958989704,20.044021088624415,0.18610945782159066,0.14857033674686615,0.1792957538687253,0.1816591396813756,0.13618098411089002,2.7314334778056883,0.08403414457999436,28.784005864433183,0.17556377283962654,0.21831237054738933,0.0,0.0
1997,4.406927272727272,50.92929292929293,0.13300003636363636,0.6563737373737373,0.7167474747474747,0.06417920595959596,0.19902626262626263,-7.03420202020202,0.06827070707070707,115.28652525252525,4.0,0.5919333333333333,1990.0,99.0,0.9328000419866204,18.55672633715582,0.1912132083882018,0.15024168188856854,0.18230185460531562,0.19867878382611862,0.15757483197066527,2.1611351183088288,0.07041805231864974,26.19904517513265,0.0,0.2303167189337504,0.0,0.0
1998,4.267464646464647,53.81818181818182,0.10699609363636363,0.6619090909090909,0.7012929292929293,0.06057683626262626,0.17147272727272728,-7.288131313131313,0.08757070707070706,116.32134343434343,3.9696969696969697,0.5874070707070708,1990.0,99.0,0.7928559289968996,17.48956752383221,0.16374230191267597,0.14299386963519362,0.18484964946863883,0.17324240110420855,0.13980644770552295,2.186632233229273,0.09051389255475271,26.175971269491747,0.3336424046406527,0.217109631975262,0.0,0.0
1999,4.176789795918367,57.63265306122449,0.11686102346938776,0.6791224489795918,0.7399897959183674,0.05470639193877551,0.1865581632653061,-6.361122448979592,0.09970102040816327,116.40736734693878,4.010204081632653,0.6558122448979592,1990.0,98.0,0.835268188240493,15.474213838500148,0.14049660932571664,0.13704956326021972,0.15979945517486824,0.15809028359705754,0.13453198594368718,2.2907907168842416,0.10568866405763791,28.383535949156638,0.10101525445522101,0.2284762597991654,0.0,0.0
2000,4.126202,57.54,0.126960035,0.68439,0.75653,0.0335196063,0.17840499999999998,-6.1858,0.075774,117.95633,4.0,0.651083,2000.0,100.0,0.6393569112756657,16.253931925238984,0.13855017237270525,0.1356669194398658,0.14352245838406638,0.13870680075484215,0.1400969068469422,2.01923829523147,0.07024611656831496,23.531446133041257,0.0,0.21657572919364154,0.0,0.0
